County,ZIP Code,Total Properties,Total Population,Median Income,Median Property Value,Total Insurer-Initiated Nonrenewals (2015 - 2021),Percent Total Nonrenewals Over Period to Total Properties (2015-2021),Absolute Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Change in Insurer-Initiated Nonrenewals (2015 - 2021),Percent Nonrenewals of Total Properties (2021),2015_New,2015_Renewed,2015_Insured-Initiated Nonrenewed,2015_Insurer-Initiated Nonrenewed,2015_ins_owner_nr_ratio,2015_new_ins_nr_ratio,2021_New,2021_Renewed,2021_Insured-Initiated Nonrenewed,2021_Insurer-Initiated Nonrenewed,2021_ins_owner_nr_ratio,2021_new_ins_nr_ratio
Los Angeles,90272,"7,963","21,629","$84,798","$2,000,001","4,048",50.84,256,145.45,5.43,775,6565,606,176,0.29042904290429,4.40340909090909,1114,6142,750,432,0.576,2.5787037037037
Contra Costa,94556,"6,250","16,428","$57,117","$1,142,100","2,369",37.90,90,145.16,2.43,378,4132,324,62,0.191358024691358,6.09677419354839,530,4138,389,152,0.390745501285347,3.48684210526316
El Dorado,95682,"12,308","30,314","$36,979","$473,200","6,056",49.20,245,142.44,3.39,933,8175,771,172,0.223086900129702,5.42441860465116,1177,8005,907,417,0.459757442116869,2.82254196642686
Santa Barbara,93105,"9,207","28,545","$42,263","$1,089,900","3,388",36.80,194,141.61,3.60,599,5918,453,137,0.30242825607064,4.37226277372263,860,5678,558,331,0.593189964157706,2.59818731117825
Contra Costa,94595,"6,663","18,117","$48,500","$592,400","1,702",25.54,52,140.54,1.34,271,2477,234,37,0.158119658119658,7.32432432432433,374,2469,329,89,0.270516717325228,4.20224719101124
San Diego,92124,"5,258","32,600","$50,758","$632,900","2,549",48.48,91,140.00,2.97,415,4476,324,65,0.200617283950617,6.38461538461539,498,4396,435,156,0.358620689655172,3.19230769230769
San Diego,92121,"2,188","4,729","$57,137","$774,200",481,21.98,21,140.00,1.65,87,696,54,15,0.277777777777778,5.8,101,695,83,36,0.433734939759036,2.80555555555556
Trinity,96091,"2,128",618,"$28,924","$350,000",218,10.24,7,140.00,0.56,26,547,22,5,0.227272727272727,5.2,43,464,36,12,0.333333333333333,3.58333333333333
Fresno,93602,"2,415","3,530","$30,759","$294,000",670,27.74,36,138.46,2.57,74,999,66,26,0.393939393939394,2.84615384615385,119,854,120,62,0.516666666666667,1.91935483870968
Kern,93205,"1,888","2,030","$13,433","$96,300",668,35.38,45,136.36,4.13,71,768,56,33,0.589285714285714,2.15151515151515,68,586,81,78,0.962962962962963,0.871794871794872
San Bernardino,92344,"9,292","23,349","$32,175","$304,800","5,204",56.01,192,136.17,3.58,896,4804,666,141,0.211711711711712,6.35460992907801,1069,5087,786,333,0.423664122137405,3.21021021021021
Sonoma,95421,"2,375","1,808","$27,593","$510,500",362,15.24,23,135.29,1.68,69,718,47,17,0.361702127659575,4.05882352941176,98,720,52,40,0.769230769230769,2.45
Amador,95689,"1,208","1,698","$31,563","$348,600",342,28.31,31,134.78,4.47,45,623,39,23,0.58974358974359,1.95652173913043,87,550,65,54,0.830769230769231,1.61111111111111
Alameda,94552,"5,793","14,938","$67,257","$926,700","2,262",39.05,66,134.69,1.99,315,3945,241,49,0.203319502074689,6.42857142857143,429,3942,351,115,0.327635327635328,3.7304347826087
San Bernardino,91708,"4,877","4,009","$38,288","$568,900","2,183",44.76,37,132.14,1.33,278,1219,227,28,0.123348017621145,9.92857142857143,772,2129,462,65,0.140692640692641,11.8769230769231
Ventura,91377,"4,946","13,853","$63,735","$760,200","2,188",44.24,77,130.51,2.75,336,3247,266,59,0.221804511278196,5.69491525423729,487,3209,365,136,0.372602739726027,3.58088235294118
Tuolumne,95310,"1,300","1,874","$26,786","$323,200",373,28.69,30,130.43,4.08,49,651,48,23,0.479166666666667,2.1304347826087,71,542,68,53,0.779411764705882,1.33962264150943
Amador,95642,"3,899","7,101","$29,508","$306,400","1,612",41.34,92,127.78,4.21,216,2366,195,72,0.369230769230769,3,395,2257,271,164,0.605166051660517,2.40853658536585
Orange,92808,"4,992","20,483","$60,522","$717,700","3,273",65.56,116,127.47,4.15,518,4427,441,91,0.206349206349206,5.69230769230769,675,4306,513,207,0.403508771929825,3.26086956521739
Calaveras,95252,"8,225","16,262","$29,295","$330,000","3,603",43.81,136,127.10,2.95,631,4463,480,107,0.222916666666667,5.89719626168224,734,4556,526,243,0.461977186311787,3.02057613168724
Riverside,92320,"3,895","8,753","$27,015","$214,400","2,476",63.57,104,126.83,4.78,463,2636,257,82,0.319066147859922,5.64634146341463,804,3317,430,186,0.432558139534884,4.32258064516129
Calaveras,95228,"4,894","4,541","$38,293","$337,900","1,721",35.17,63,126.00,2.31,266,2112,219,50,0.228310502283105,5.32,367,2181,265,113,0.426415094339623,3.24778761061947
Riverside,92241,"5,741","7,699","$20,741","$79,300","2,718",47.34,143,123.28,4.51,474,3156,276,116,0.420289855072464,4.08620689655172,896,2926,597,259,0.433835845896147,3.45945945945946
Riverside,92536,"3,765","3,076","$30,760","$297,200",736,19.55,32,123.08,1.54,121,913,99,26,0.262626262626263,4.65384615384615,106,924,136,58,0.426470588235294,1.82758620689655
Ventura,91320,"16,059","44,968","$46,522","$695,200","8,030",50.00,237,120.92,2.70,1327,11629,1076,196,0.182156133828996,6.77040816326531,1612,11434,1261,433,0.343378271213323,3.72286374133949
San Diego,92064,"14,619","49,805","$41,523","$687,000","7,921",54.18,227,120.74,2.84,1235,12081,1005,188,0.187064676616915,6.56914893617021,1557,11810,1293,415,0.320959010054138,3.75180722891566
